iter	Passed	Remaining
631	1495	870
632	1497	868
633	1499	865
634	1501	863
635	1503	860
636	1505	857
637	1507	855
638	1509	852
639	1511	849
640	1512	847
641	1514	844
642	1516	841
643	1518	839
644	1520	837
645	1522	834
646	1525	832
647	1527	829
648	1529	827
649	1531	824
650	1533	822
651	1535	819
652	1537	817
653	1539	814
654	1541	811
655	1543	809
656	1545	807
657	1547	804
658	1549	801
659	1551	799
660	1553	796
661	1555	794
662	1558	792
663	1560	789
664	1562	787
665	1564	784
666	1566	781
667	1568	779
668	1570	776
669	1572	774
670	1574	771
671	1575	769
672	1577	766
673	1579	763
674	1581	761
675	1583	758
676	1585	756
677	1587	753
678	1589	751
679	1591	748
680	1593	746
681	1595	743
682	1597	741
683	1599	739
684	1601	736
685	1603	734
686	1605	731
687	1607	729
688	1609	726
689	1612	724
690	1614	721
691	1616	719
692	1618	716
693	1620	714
694	1622	711
695	1624	709
696	1626	707
697	1628	704
698	1630	701
699	1632	699
700	1634	697
701	1636	694
702	1637	691
703	1639	689
704	1641	686
705	1643	684
706	1645	681
707	1647	679
708	1649	677
709	1651	674
710	1653	672
711	1655	669
712	1657	667
713	1659	664
714	1661	662
715	1663	659
716	1665	657
717	1667	654
718	1669	652
719	1671	650
720	1673	647
721	1675	645
722	1677	642
723	1679	640
724	1681	637
725	1683	635
726	1686	633
727	1688	630
728	1690	628
729	1692	626
730	1694	623
731	1696	621
732	1698	618
733	1700	616
734	1702	613
735	1704	611
736	1707	609
737	1709	606
738	1711	604
739	1713	602
740	1716	599
741	1718	597
742	1720	595
743	1723	592
744	1725	590
745	1727	588
746	1729	585
747	1731	583
748	1733	580
749	1735	578
750	1738	576
751	1740	573
752	1742	571
753	1744	569
754	1746	566
755	1748	564
756	1750	561
757	1752	559
758	1754	557
759	1756	554
760	1757	552
761	1760	549
762	1762	547
763	1764	544
764	1766	542
765	1767	540
766	1769	537
767	1771	535
768	1773	532
769	1775	530
770	1777	527
771	1779	525
772	1781	523
773	1783	520
774	1785	518
775	1787	516
776	1790	513
777	1792	511
778	1795	509
779	1797	507
780	1799	504
781	1802	502
782	1804	499
783	1806	497
784	1808	495
785	1810	492
786	1812	490
787	1814	488
788	1817	485
789	1819	483
790	1821	481
791	1823	478
792	1825	476
793	1827	474
794	1829	471
795	1831	469
796	1833	466
797	1835	464
798	1837	462
799	1839	459
800	1841	457
801	1843	455
802	1845	452
803	1847	450
804	1850	448
805	1852	445
806	1854	443
807	1856	441
808	1858	438
809	1859	436
810	1862	433
811	1864	431
812	1866	429
813	1868	426
814	1869	424
815	1871	422
816	1873	419
817	1876	417
818	1878	415
819	1880	412
820	1882	410
821	1884	408
822	1886	405
823	1888	403
824	1890	400
825	1891	398
826	1893	396
827	1895	393
828	1897	391
829	1899	389
830	1901	386
831	1903	384
832	1905	382
833	1908	379
834	1910	377
835	1912	375
836	1914	372
837	1916	370
838	1918	368
839	1920	365
840	1922	363
841	1924	361
842	1926	358
843	1928	356
844	1930	354
845	1932	351
846	1934	349
847	1937	347
848	1939	344
849	1941	342
850	1943	340
851	1945	338
852	1947	335
853	1949	333
854	1951	330
855	1953	328
856	1955	326
857	1957	323
858	1959	321
859	1961	319
860	1963	316
861	1965	314
862	1966	312
863	1969	309
864	1971	307
865	1972	305
866	1974	302
867	1976	300
868	1978	298
869	1980	295
870	1983	293
871	1985	291
872	1987	289
873	1989	286
874	1991	284
875	1993	282
876	1995	279
877	1998	277
878	2000	275
879	2002	273
880	2004	270
881	2007	268
882	2009	266
883	2011	263
884	2013	261
885	2015	259
886	2018	257
887	2020	254
888	2022	252
889	2024	250
890	2026	247
891	2028	245
892	2031	243
893	2033	241
894	2035	238
895	2037	236
896	2039	234
897	2041	231
898	2043	229
899	2045	227
900	2048	225
901	2049	222
902	2051	220
903	2054	218
904	2056	215
905	2058	213
906	2060	211
907	2062	208
908	2064	206
909	2066	204
910	2068	202
911	2070	199
912	2072	197
913	2074	195
914	2076	192
915	2078	190
916	2080	188
917	2082	186
918	2084	183
919	2085	181
920	2087	179
921	2089	176
922	2092	174
923	2094	172
924	2096	169
925	2098	167
926	2100	165
927	2102	163
928	2104	160
929	2107	158
930	2109	156
931	2111	154
932	2113	151
933	2114	149
934	2116	147
935	2119	144
936	2121	142
937	2123	140
938	2125	138
939	2127	135
940	2129	133
941	2131	131
942	2133	128
943	2135	126
944	2137	124
945	2139	122
946	2141	119
947	2143	117
948	2145	115
949	2147	113
950	2148	110
951	2150	108
952	2152	106
953	2154	103
954	2156	101
955	2158	99
956	2160	97
957	2163	94
958	2164	92
959	2166	90
960	2168	88
961	2170	85
962	2172	83
963	2175	81
964	2177	78
965	2179	76
966	2181	74
967	2183	72
968	2185	69
969	2187	67
970	2189	65
971	2191	63
972	2194	60
973	2196	58
974	2198	56
975	2200	54
976	2202	51
977	2204	49
978	2206	47
979	2208	45
980	2210	42
981	2212	40
982	2214	38
983	2216	36
984	2218	33
985	2220	31
986	2223	29
987	2225	27
988	2227	24
989	2229	22
990	2231	20
991	2233	18
992	2235	15
993	2237	13
994	2239	11
995	2241	9
996	2243	6
997	2245	4
998	2247	2
999	2249	0
